reviewId,at,score,version,userName,title,content,thumbsUpCount
7c4eae99-d331-40e8-bb38-6afee1af5953,2025-11-12T14:10:56+00:00,4,,Luniko Magazi,,I have funny watching it,0
7b53b2d2-3a63-43d5-b452-950845520cb5,2025-11-12T14:08:42+00:00,5,41.9.3,Venessa Chima,41.9.3,my best app,0
466ec9f3-7477-4858-8a62-1606fe239be8,2025-11-12T14:07:08+00:00,5,,Ikechukwu Chigbo,,Nice one and we move on,0
ae4e35db-4965-49c9-98db-6099c5301920,2025-11-12T14:05:33+00:00,3,42.4.4,Sid,42.4.4,it's consumed by gooner content,0
9e28ecd5-c0f9-4220-851e-42a8e0345737,2025-11-12T14:03:31+00:00,5,,V-K-VMLITE.COM3 VMLITE.COM3,,good,0
24f8bea4-54a5-4e9d-b872-a6225bf11021,2025-11-12T14:03:23+00:00,1,42.4.4,Kristy Maugham,42.4.4,it constantly kicks me out of the app,0
df5ae046-d81e-4e12-a649-4701ab247d52,2025-11-12T14:01:23+00:00,2,42.4.4,Malik Saqib,42.4.4,sport me my account is unfreez account 😞,0
91426926-82e4-4762-b28f-f9df41cd97da,2025-11-12T13:54:02+00:00,5,,Issa jamiu Babatunde,,Bella,0
9494c84c-a70d-4d17-b1cf-babb0bcc18a5,2025-11-12T13:51:11+00:00,2,42.4.4,Aneeb Aneeb,42.4.4,For you,0
f2b47522-6281-4de1-b8d6-523a5ecec043,2025-11-12T13:46:16+00:00,5,,Iradat opeyemi Falolu,,Good,0
92883113-2cf3-4feb-9648-83b3fef37ef2,2025-11-12T13:45:54+00:00,4,42.2.3,Gary Landry,42.2.3,no comment,0
fbf6ab36-003a-4aec-af1c-8417bedfda5a,2025-11-12T13:45:06+00:00,5,40.3.3,boiz masibi,40.3.3,It good,0
b2d88aee-b193-4a95-bbd8-053c4b64c0b2,2025-11-12T13:44:08+00:00,1,,Amidat Onifade,,I don't think I like it because I don't get the kind of video I am expecting,0
c7951c01-f65e-4882-918d-2ffa623d640d,2025-11-12T13:38:21+00:00,1,42.4.4,addy muns,42.4.4,This app is hanging and crashing.,0
a8d132fc-0a79-4515-a50e-f7aecf5690db,2025-11-12T13:36:42+00:00,3,,Nmesoma Ruth,,It`s manageable although it gives me problem,0
19d62a4c-49cc-4cd0-9440-a3eef2159760,2025-11-12T13:34:49+00:00,5,,Witold Sieminas,,way better than yt....,0
b30a564c-3951-48bf-a9df-3f5975a7b4fd,2025-11-12T13:31:37+00:00,5,42.4.4,Ali Chand,42.4.4,videos fuo,0
8208f526-a527-42d5-a0eb-b3a520c78ee8,2025-11-12T13:31:28+00:00,5,,Syed Umair,,best of best ❤,0
210db146-d51e-41d5-ba47-d4b36a3a4326,2025-11-12T13:30:15+00:00,1,42.4.4,maite yungan,42.4.4,su app es una mrd no me llegan a tiempo las notificaciones los me gustas y hay demasiados bots TT arreglen esoo lit tiktok ya no es fiar como antes.. ni siquiera deja poner mas de 5# por esoo es que mis videos ya quedan en flop arreglem esoo mrd dejenlo como estaba antes,0
92b7bdda-5838-4a9d-933e-738b7c059e54,2025-11-12T13:30:02+00:00,1,42.4.4,Rana Tarek,42.4.4,"time and money consuming with endless content of lifeless people, drawing you to non stop dilemma of videos",0
b472e4ea-36e5-4630-b1dc-58ccf2db720c,2025-11-12T13:28:52+00:00,5,,M Ehboob,,I love tiktok,0
